video_id,title,channel_id,channel_title,category_id,category_name,view_count,like_count,comment_count,publish_time,collection_date
caaTLwZfZhQ,FULL HIGHLIGHT! VIETNAM (2) VS (1) THAILAND |  ASEAN MITSUBISHI ELECTRIC CUP 2024,UCZgAny8kv3i7n_DdvTQznAA,officialgtvid,24,Entertainment,648002,3249,3381,2025-01-02T15:34:30Z,2024-12-23
8nkOi0IG908,"DENNY CAKNAN, JASUN BIBER, ERI PRAS - SEKTI | DC.CONGYENG (OFFICIAL LIVE MUSIC VIDEO) | DC MUSIK",UC7FE8E7nCP-sJO8o4FTo93Q,DC. PRODUCTION,10,Music,1164470,57771,6425,2025-01-01T09:00:11Z,2024-12-23
QpbHnz1jCFM,Kakek Kompor Gas Berubah Menjadi Siluman Kucing Ketiak -_-,UC8qp0ZmavLOGeSdLxSUZO8w,BUDI01 GAMING,20,Gaming,507055,22658,1680,2025-01-02T02:58:26Z,2024-12-23
w7txFlV1gmA,"NO CUT NO EDIT!!! KONTRAKSI DI AWAL TAHUN, BUNDA LESTI & PAPA BILLAR SIAP SAMBUT ANAK KE-2!!!",UCzeRCr1-PmVfJRy6NDP1zbg,Leslar Entertainment,24,Entertainment,367830,24098,2855,2025-01-02T13:25:25Z,2024-12-23
195yxHhhhF4,"DIKIRIMIN FOOD TRUCK, TERIMA KASIH TEMAN-TEMAN....",UCPzvawb586WJO9nBVH5oFrw,Aqeela Calista,22,People & Blogs,624291,49758,1227,2025-01-01T08:30:00Z,2024-12-23
p8YvRtrZzoM,PENDAKIAN KEDUA PART 7 - Animasi Sekolah,UCA_fIuIBkjjO5IfK50Iqs7w,Dhot Design,1,Film & Animation,7677462,296333,23810,2025-01-01T14:12:57Z,2024-12-23
sRk9jPbqtGs,3100 Hari Minecraft Ocean Only❗️AKU TRANSFORMASI OCEAN MONUMEN TERBESAR DIDUNIA❗️,UCUJ0K_e0ac1vBBqss99wudQ,PaYuDan,20,Gaming,293653,7726,1225,2025-01-01T04:47:04Z,2024-12-23
Gjz8DKKKvD0,REWIND INDONESIA 2024 MINECRAFT ANIMATION - LEMBARAN HARAPAN,UCFbhHSuaxVzchea9wXJbxvw,Animator Next Generation Indonesia,20,Gaming,665837,50026,6669,2024-12-31T12:45:07Z,2024-12-23
bMm1v2W5QXM,Niken Salindry - Sayang Culik Aku Dong Bahasa Thailand (Official Music Video ANEKA SAFARI),UCmB1_agPlXbbwTCPKEuwEKA,Aneka Safari Records,10,Music,672689,9746,1088,2024-12-31T06:00:11Z,2024-12-23
Ld39do-FIDQ,TRAVELING SAMA KAMARI & PAPA DALI (remembering) #VLOG 08,UCoXR-WtvjzHcaj6JWd2eL8Q,KeluargaBacil,22,People & Blogs,846559,77077,17506,2024-12-31T06:00:06Z,2024-12-23
